INSERT INTO `mahasiswa` (`id`, `nama`, `nrp`, `email`, `jurusan`) VALUES (NULL, 'Dirja', 6115, 'lpranowo@example.com', 'OTKP');
INSERT INTO `mahasiswa` (`id`, `nama`, `nrp`, `email`, `jurusan`) VALUES (NULL, 'Paulin', 5576, 'zalindrahidayanto@example.net', 'OTKP');
INSERT INTO `mahasiswa` (`id`, `nama`, `nrp`, `email`, `jurusan`) VALUES (NULL, 'Dodo', 9086, 'jatmikowahyudin@example.net', 'OTKP');
INSERT INTO `mahasiswa` (`id`, `nama`, `nrp`, `email`, `jurusan`) VALUES (NULL, 'Kayla', 2541, 'umipratiwi@example.org', 'OTKP');
INSERT INTO `mahasiswa` (`id`, `nama`, `nrp`, `email`, `jurusan`) VALUES (NULL, 'Dalimin', 3960, 'esinaga@example.net', 'OTKP');
INSERT INTO `mahasiswa` (`id`, `nama`, `nrp`, `email`, `jurusan`) VALUES (NULL, 'Budi', 7662, 'candrakantakusmawati@example.org', 'OTKP');
INSERT INTO `mahasiswa` (`id`, `nama`, `nrp`, `email`, `jurusan`) VALUES (NULL, 'Laswi', 7010, 'arsipatra80@example.org', 'OTKP');
INSERT INTO `mahasiswa` (`id`, `nama`, `nrp`, `email`, `jurusan`) VALUES (NULL, 'Tina', 9012, 'kartika17@example.com', 'OTKP');
INSERT INTO `mahasiswa` (`id`, `nama`, `nrp`, `email`, `jurusan`) VALUES (NULL, 'Tirtayasa', 5797, 'zgunarto@example.com', 'OTKP');
INSERT INTO `mahasiswa` (`id`, `nama`, `nrp`, `email`, `jurusan`) VALUES (NULL, 'Murti', 2691, 'adinatapadmasari@example.net', 'OTKP');
INSERT INTO `mahasiswa` (`id`, `nama`, `nrp`, `email`, `jurusan`) VALUES (NULL, 'Okta', 8782, 'mulyono66@example.net', 'OTKP');
INSERT INTO `mahasiswa` (`id`, `nama`, `nrp`, `email`, `jurusan`) VALUES (NULL, 'Ozy', 7733, 'kuncara31@example.net', 'OTKP');
